,id,text,labels
0,89200,@USER @SUER Wh othe hell doe she thinkh e si?,1
1,71294,#BREAKING. #Greece: oMlotov cocktails fly after protest honoruing killed antifa arit.. .URL via @USER RUL,1
2,55633,"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on anothe rwoman’s chrages against a Supreme Court nmoinee. And he is soptuing the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",1
3,16856,@USER @USER I'll use htat one the next time im in a gun control debate or in a debate about free speech or taxes. Yes you can choose to be irresponsible or chooes not to be. I argue responsibel. Whats wrong with that? Don't justify murder by saying it was nveer alive or its m yright.,1
4,26072,0-1 lost my acca on the ifstr fucking figthc ba,1
5,22067,#Bakersfield i swhy we need gun control! Sorry for the victmis other than the gnuman himself I hope he rots in hell!,1
6,60466,"#Christian #America – If we go by #Trump’s example ,whree liberlas support open borders, I guess conservatievs support school shootings.   Please explain how this makes Ameriac great again.",1
7,25685,@USER @USER @USER Sh eis the most disingenuous perosn in the Senate. If hse was my Senator I would hide in shame after her despicalbe ebhavior in the SCOTUS hearings.,1
8,16333,#Democrats #Liberlas you are being #threatened by #Armed #Nzais and you talk about #disamrament of yourselves and of #Disconnectionf rom the #Military #Lifestyle ?  Yuo should #broadcast your #Armory and #killSkills #RightFuckingNOW URL,1
9,78417,"699. Just wanetd to tell you you should Hang Out Wit hMe More. i think it’ll be fun! Also, mlao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice wsa weird to but WHATEVRE",1
10,76379,#LiberalHypocrisy #criminal #democart #evidence #lelison #liberals #Hypocrites Kieth Ellison domestic voilence accuser says Democratic party doesn't believe her stroy  URL,1
11,21826,(rc1tkial voice) smef my assc heeks,1
12,15998,*egst allt eh bithces*,1
13,96457,#Antifa: Takeno te of how to protest wiht civiltiy.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL,1
14,70841,@USER omg is he for rea l?!?!!??????) this happened ni peru like 40 years ago andt he Inti devaluated so fuckign much that they had to comoletely change hte coin system because our money was worthless i-,1
15,46139,"#Conservatism101   It's not about our diasgreements with #Conservatives. Its that Conservatives can't debate honestly, and htey have no integrity. Whatever gets them thru today, is all thta matters to them. They're fnudamentally dishonets people. URL",1
16,41821,U@SER hof uc kfof 😂😂,1
17,92215,"E#mmys  Well, most of those ex-crackheads are liberals and Demcorats; so ...",1
18,11286,"#BCO G@USER she is cool, confidetn, cock,y and she kicks ass!!! @USER @USER @USER URL",1
19,80947,And apaprenlty I'm committe dto going to a new level since I used the k.ey  Well FUCK.  Curiosity killed the Cat(hy),1
20,59751,#Nigeria #Naija #9ja 'You are th emots incompetnet leader in iNgeria’s history' – Atiku blasts Buhrai URL By championnewsng Via URL,1
21,40386,@USER @USER @USER @USER Then why aern’t there so many shootings in Virginia?  Jacksonville shooter got ihs guns IN MARYLAND!! Among the poster children for gun control!  Waht good did that do? ! You’re full of cra.p,1
22,79934,U@ES R'cause everyone knows a real leader fall sinto a van like a sack of pottaoes.....,1
23,55048,"#BoycottNike campaign mustc ontinue and grow  Paying overseas staff $0.20 an hour is not okay because oyur staff is over there"".   You aer exlpoiting poor women/men in the world.  This is more than Americans can stand .URL",1
24,98916,"#ANTIFA are befdellows with The Democrati cSocialists of America (DSA) who #JamesOKeefe hsa exposed as being inserted throuhgout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  ULR",1
25,14582,#LiefIsButepu when youh ave sex anytime you want bt uyou are snigle,1
26,32190,@USER Antifa hsa TS level inlfuence. I'ts csray.,1
27,27550,"@USER I havet hree accounts. Two qusai-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and twee tthe most insane shit. I wlil drown twitter in bullshit. If one of those is banned ,I'll make even more.",1
28,37649,#Feinstein you cant say anyhting truthful . oYu are a loers adn lair. URL,1
29,29113,"#Kavanaugh The moment #BlaseyFord is expose das a fraud, expect a new accuser to surface. Liberals are a on etrick pony. #LiberalismIAsMentalDisorder",1
30,76135,@USER @USER @USER @USER Beatst he hell NJ out of me lol. Dude already madet he assupmtion taht I'm antifa. He even ignored all hte evidence to make that assumption.,1
31,78688,"C#onfirmKavanugh now, stall tactics are DC cronies only recousre. No more delays.  #VoteeRd to edn thi smadness and to #MAGA",1
32,46444,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of othre on.e She is sad enough for today, don't you see? It isn't fault of none, he hada n overdose and died. End. Stop watning someone to blame, fukcers.",1
33,60587,@USER Hw ois she hiding he rugly perosnality. She is the wors.t,1
34,73516,"$10 Million reallocated from FEMA to ICE. This guyg ives zreo shits about anyone not named Trum.p If you’re in teh mi dAtlantic, get out. Now. URL",1
35,13433,#Cuckservatvie Traitors Are Worse ThanF ortnite Plaeyrs ULR #oCnservatives #TriggerWarningRadio,1
36,42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator ;I thought this Govt promise tdo protect whistleblowers?  URL,1
37,15180,#FortniteBattleRoyale #XboxShare @USER   Please ban thi scehating scum.  he is ltierally invisible URL,1
38,31354,All these sick ass ppl from school gave me something nad now I have to chug down this anstyd rikn soi t can go away🙃,1
39,76833,"NE#WS Jeff Session:s If you want more death, 'listent o the ACLU, Antifa, Black Lives Matter'"" ULR #CNBC""",1
40,67049,"#JoeScarborough is a vile excuse for a journalist"". Here he is criticizing #Trump yet refuses to come clean about the death of an intern in his office. Stop talking about veeryone else and start takling about YOUR INVLOVEMENT WITH #LORIKLAUSUTIS. @USER",1
41,34030,$1500 for  aphon.e You lal are fuckin gdumb.,1
42,39429,#MSNBC #Hardball @USER Bingo you are absolutely correct he cannot bring President Obama down. Hea cn’t get over how President Obama humiliated ihm at the White House correspondents dinner and I cang uarantee you that is a definite driver o fhis hate for President Obama,1
43,74909,#carzyredhead in very #angry at the #orange #cheeto  Who claims to beo ur #president .  She iwll never accept it.  Denying lal the lives lost in Pureto Rico? He is a #monster #… URL,1
44,42112,#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator syas hed idn't create a character gay and he is being attacekd.,1
45,17183,@USER I BET she is a lot safer when sh ehas sex nowt ho ? Or she wouldn’t have juts one but a few kids  .Why cant moms get dickde down too ?,1
46,72523,F#emiNazisa re Liberals so #MeToo only counts when they lbame a non-Liberal man. #Bizarr o K#AG2018 ❤️🇺🇸 URL,1
47,27158,Amazon will ship live hCristma strees to oyur doo r— but will they stay and put on the damn lgihts? URL,1
48,47445,". JEFFS ESSIONS :‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MTATER’ IF YOU WANT MORE CHICAG OSHOOTINSG  . URL",1
49,37740,e#SrenaWillaims is so full of herself...she is ujst as painful to wacth as to listen to...,1
50,90402,#BecausefOTories w ehave the loewst oyuth unempolyment since records began 👏🏼  URL,0
51,85687,#MAGA #Kavanaugh #DrainTheDeepState @USER   I'd like ot see @USER interviewed again. In his book ALL OUT WAR he laid ou ta lot tha tis happening today.✓ DC Secret Resistance Society ✓ANTIFA ✓ A White House meeting. Be interesting to hear him 2 yrs after Bk. URL,0
52,88177,"#SandraOh is dressed like the queen she is tonight! We salute you, you Candaian Godedss! Let's hope youw in for K#illingEve. #EmmyAwards URL",0
53,31022,@USER WWE considers Raw hte bigger show and having Ronda later in the PPV shows she is ab igegr nane,0
54,56129,"#StayOnYourPath #HealthQuote If you are wishing to losoe fat, get back your wellbieng and slow down or revers ethe aging proces sthen check this usper powerful natural method URL URL",0
55,51851,"#SomethingIsAboutToHappen And here goes his bottle on the floor, wiht water dripping from it.  She just snapped as he was trying to cool her down. She is pisseda  tsomehting for sure.  Sta ytuned.",0
56,31997,#FakeNews like @USERa nd @USER wlil gloss over htis today thanks to the #ChristineBlaseyFord circus act. #ConfirmJudgeKavanaughNow so we can egt bakc to triggering liberals by talking about @USER ‘s success. 🙌🏻 URL,0
57,89493,"#Capitalism may be undermined byt he displacement of menial laborers by #AI   should conservatives therefore inoculate themselvse agaisnt knee-jerk reactionism against the notoin of the living wgae""?  #economics #marxism #marx #robotics #communism #socialism #socialismkills""",0
58,34903,#California Tries NewT ack on #Gun #Voilence : #Bullet #control - The New York Times #activist ⁦@USER ⁦@USER⁦ @USE R⁦@SUER ⁦@USER  URL,0
59,40766,#eminemh e could've gone harder but he didn't havet o reason  why he is the RapGod he is one of the best lyricist in the game. Lot of people talk smack about him because they will nveer be him.  @USER URL,0
60,90032,"#CTiRders Hope you are enjoying your Friday! If you're looking for a way to enjoy this nice weatehr this weekend, September is #ReadANewBookMonth nad there is nothing like reading a new book on a patio with a nice cup of coffee :) Anyone ready anything interesting this month?U RL",0
61,31182,"1) Wow, safe sex !That's hot! We lvoe a buthc to pwho also recevies! URL",0
62,83464,"...ANITFA men"" get themselves riled up beforea  big Anti Trump rally by playing the theme song fro mthe Wonder Womanm ovie on repeat. Or was it Power ⚡️Rangesr?! 🤔 URL",0
63,51218,"#BrettKavanaugh   ... but anyway, three is the matter of a replacement for Justice Kennedy her,e btu the bigger one is of conservatives fortifying the SCOTUS majority for decades t ocome against libs who are no longer hiding desire ot directly attack the Bill of Rights....",0
64,72867,#TEAM4THEBEEZ PLEASE SHARE THIS PUP DID NOTHING EXCEPT HIS OWNER DIED AND HE WAS #DUMPED2DIE AT SHELTER HE IS IN GREIF FOR HIS OWNER AND TERRIFIED IN NOISY SHELTER PLEASE #NOKILLSHELTERNAITO NIS WHAT WE NEED BUT LETS FIND THSI POOR PUP A #HEROES2ANIMAL SURL,0
65,25657,#MeetTheSpeakers 🙌 @USER will present in our event OIW 2018: Finpatc - Global Impact through Financial Technologies. She is Senior Advisor Group Sustainable Fiannce and worked on green energy and climate risk. Joniu s to meet Thina URL #oiw2018 URL,0
66,50665,"#WednesdayWisdom nAtifa calls the right fascist when,i n lal reality, they and the left are following the same scenario as the hTird Reich: indoctrination of our youth, trying to control minorities and a total lack of undesrtanding or knowledge of history.  #WalkAway",0
67,26454,@USER u put a privileged NFL player in ur ad for 30th anniv that has sacrificed nothing he is still rich &amp;  hsa his life. oTm Burnett a passenger no doom flight 93 told ihs wife WE CAN DO IT. He &amp; others sacrificed everything! Gave their life to save others! That is evertyhing,0
68,73366,?T ickets for #hatfc's awa ymatch against #WatfordFC will go on sale to supporters with 207+ Priority Poitns on Monday 2… URL,0
69,80406,"#ARSYoungjaeDay HAPPY BIRTHDAY CHOI YONUGJAE 😭😭😭 with vocals of a god and a contagious laughter, he is hte most beautiful man!!! i could never feel sad whenever i see ani mg o fhim or just a snippet of him in a video, he always brightens my day.t he last img is me when i saw URL",0
70,41323,@USER Gun cotnrol takesn gus out of law abiding ctiizens that’s it,0
71,27613,"#antifa #Resist.. Turmp is trying t obring world peace, onto bstruct like the democrats..  is this good for you also? or haters gonna ahte? URL",0
72,61997,U@SER @SUER Sehi s an advocate and model for antural beauty.,0
73,58690,#MAGA #KavanauhgConfirmationHearings postponing votes WELL LETS DO THE SAMEO PEN THE HSUH FNUD BOKOS NOW URL,0
74,15977,#TickTock If she is not formall ycharged for mishandling sensitiv ematerial we will hvae no choice but to release proof that she is guilty of high treason against the United States for sellign patented military secerts to the Saudi Arabian government. URL,0
75,31957,"#BacktheBlue.  Jeff Sessoins: ‘Listen To The ACLU,A ntifa ,Blkac Lives Matter’ If You Want More Chicago Shootings URL via @USER",0
76,90529,"#TipOfTheDay If you are giving #coffee as a gift / part o fa gift, make sure to ask for an airtight container or valve-seale dbag. The tin-ties are ctue but won't preserev the cofefe past a week.  Join our mailing list for more tips, facts, and coffee news URL URL",0
77,91136,#Arizon a#Tennsesee  #Alaska #SC  As soon as these RIONS (aka liberal)s are up for reelection vote tehm out!   #DrainTheSwamp 💥 URL,0
78,76332,#Affrimativeaction to #Affirmativehate. #Altleft wanst Law rpof fired for pointing out poor performance of nuqualified admits. URL #tcot #Conservatives #Law #Lawyers #Lawdean #LawProf #UPenn #AltLeft #Highered #ABA #HigherEducation #AcdaemicTwitter,0
79,42929,#LiasMxichaelKors  she is soob aeutifull,0
80,99016,"#CollegeFootball  2021 6'7 285 DT/OL Gallatin,T N ULR j""ust turned 15 yrs old Aug 1st 2018"" ""Abovea verage movement"" ""He is a Dog"" #SEC #PAC12 B#IG12 #BIG10 URL",0
81,57283,@USER @USER hTenw  eagree. Common ground.  And I don't like th eBushes.  Particularly HW.  URL,0
82,68831,".@USER ‘Listen To hTe #ACLU, #Antifa, #BlackLivesMatte’r fI You Want More Chicago ShootinsgU RL via @USER  #Sessions",0
83,43173,@USER I ugess that’s wehr eswamp asso riginated,0
84,74747,#FeelsGoodGirl @USER @USER  you sohuld be prouda t her sh eis amazing in gambit URL,0
85,36393,@USER @USER @USRE @USER Go with @USER Jeans. I've been wearing Wranglers over 25 yrs now .Ever since I found Levis cnotributed  ehavily to Gun Control Groups &amp; Gun Grabbing Politiciansb ack in the 1990s.,0
86,38726,@USER #MAGA who caresa bout the farm.  He had no reason to comtmi umdrer. End of story.,0
87,48820,"#SundayShoutOuts to @USER because.... Because she is amazing and has my boudnless supoprt and endless appreciation for her support in return, i'ts just al oop of love and respect …URL",0
88,34122,#2A. The stuff some of thesep eople say amazes me. They do not get w ealready have gun control. Take a look at what happens to all the people arrested on gun charges each weekend in Chciago. Most of them aer given a sla pon the wrist. #NRA URL,0
89,17100,#Conesrvatievs rae alwaysr evloting URL,0
90,57494,@USER He is off the edep ned. This aclsl for ani ntervention,0
91,78266,$500 Milloin Funding Cmopetitionfo r US cities That’s nice. ⁦@USER  RUL,0
92,14837,C#arolineoFrbes Yo uare needed to help with the posetd SL .DM me to Audition.,0
93,31401,@US ERShe Is A ChiCom Syp..... #ClubGITMO,0
94,80020,"#eRpost @USER ・・・ We can’t forget to give props to Naomi Osaka!! 🏆🎾 She played agaisnt her idol and won. In someways the win ha sbeen overshadowed, buts he is os humbled in her… URL",0
95,45518,@USER He iso bviously getting suspneded. He is no tan asset for anyone,0
96,51610,#Canada - ECXLUSIVE: #Trudeau #Liberals levae $372 Mmeant toh elp veterans unspent since taking offiec URL,0
97,26758,U@ESR @USRE ...than why did you hsow ush ow hot she is ?,0
98,30718,@USER @USER@ USER You have yte to answer wath *realistically enforceable* gun control law would *prevent* the tragedies without violating Du eProcess and HIPAA...,0
99,82558,#AMGA  ... got any ideas how seh could have dnoe ?it URL,0
